dataset,near_floor,ratio_floor,mean_floor,knee,base_knee,delta
onebig,0.25,3.0,0.045,7,7,0
onebig,0.375,1.0,0.015,6,7,-1
onebig,0.375,1.0,0.03,6,7,-1
onebig,0.375,1.0,0.045,6,7,-1
onebig,0.375,2.0,0.015,6,7,-1
onebig,0.375,2.0,0.03,6,7,-1
onebig,0.375,2.0,0.045,6,7,-1
onebig,0.375,3.0,0.015,6,7,-1
onebig,0.375,3.0,0.03,6,7,-1
onebig,0.375,3.0,0.045,6,7,-1
pendigits,0.125,1.0,0.015,6,5,1
pendigits,0.125,1.0,0.03,5,5,0
pendigits,0.125,1.0,0.045,5,5,0
pendigits,0.125,2.0,0.015,6,5,1
pendigits,0.125,2.0,0.03,5,5,0
pendigits,0.125,2.0,0.045,5,5,0
pendigits,0.125,3.0,0.015,6,5,1
pendigits,0.125,3.0,0.03,5,5,0
pendigits,0.125,3.0,0.045,5,5,0
pendigits,0.25,1.0,0.015,5,5,0
pendigits,0.25,1.0,0.03,5,5,0
pendigits,0.25,1.0,0.045,5,5,0
pendigits,0.25,2.0,0.015,5,5,0
pendigits,0.25,2.0,0.03,5,5,0
pendigits,0.25,2.0,0.045,5,5,0
pendigits,0.25,3.0,0.015,5,5,0
pendigits,0.25,3.0,0.03,5,5,0
pendigits,0.25,3.0,0.045,5,5,0
pendigits,0.375,1.0,0.015,5,5,0
pendigits,0.375,1.0,0.03,5,5,0
pendigits,0.375,1.0,0.045,5,5,0
pendigits,0.375,2.0,0.015,5,5,0
pendigits,0.375,2.0,0.03,5,5,0
pendigits,0.375,2.0,0.045,5,5,0
pendigits,0.375,3.0,0.015,5,5,0
pendigits,0.375,3.0,0.03,5,5,0
pendigits,0.375,3.0,0.045,5,5,0
wine,0.125,1.0,0.015,2,2,0
wine,0.125,1.0,0.03,2,2,0
wine,0.125,1.0,0.045,2,2,0
wine,0.125,2.0,0.015,2,2,0
wine,0.125,2.0,0.03,2,2,0
wine,0.125,2.0,0.045,2,2,0
wine,0.125,3.0,0.015,,2,
wine,0.125,3.0,0.03,,2,
wine,0.125,3.0,0.045,,2,
wine,0.25,1.0,0.015,2,2,0
wine,0.25,1.0,0.03,2,2,0
wine,0.25,1.0,0.045,2,2,0
wine,0.25,2.0,0.015,2,2,0
wine,0.25,2.0,0.03,2,2,0
wine,0.25,2.0,0.045,2,2,0
wine,0.25,3.0,0.015,,2,
wine,0.25,3.0,0.03,,2,
wine,0.25,3.0,0.045,,2,
wine,0.375,1.0,0.015,2,2,0
wine,0.375,1.0,0.03,2,2,0
wine,0.375,1.0,0.045,2,2,0
wine,0.375,2.0,0.015,2,2,0
wine,0.375,2.0,0.03,2,2,0
wine,0.375,2.0,0.045,2,2,0
wine,0.375,3.0,0.015,,2,
wine,0.375,3.0,0.03,,2,
wine,0.375,3.0,0.045,,2,
