dataset,view,family,q,d2,d2_ceiling,e_original,n,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,alignment,knn_acc,cluster_ari,oneclass_auc,krr_r2,qsvm_f1,last_alive,twonn,twonn_ceiling,pca95
moons,pca,rbf,4,0.7203213491478936,2,20,32,0.6529276207538282,0.23821032455407593,0.9871368518516359,0.12272419644610681,8.043538930687786,True,0.763213854745477,0.8,0.1653768615464655,0.875,0.9972358191492493,0.8,False,12.639195022327543,13,19
moons,pca,fidelity,5,0.7203213491478936,2,20,32,0.03477597709291696,0.054340038195654104,0.08077899693470278,0.019301452555954144,4.185125274925691,False,0.39247463249323106,0.8,0.22559240164587635,0.8333333333333333,0.16235616276812814,0.8571428571428571,False,12.639195022327543,13,19
moons,pca,rbf,5,0.7203213491478936,2,20,32,0.700720674625672,0.21471608019023428,0.9886725006276181,0.1861708313660916,5.310566071886226,True,0.762728485652815,0.8,0.1653768615464655,0.8333333333333333,0.9970891755979601,0.8,False,12.639195022327543,13,19
moons,pca,fidelity,6,0.7203213491478936,2,20,32,0.015951150411759384,0.03275792011088783,0.025503462154246415,0.009856129935724153,2.58757365421975,False,0.32239272366172816,1.0,0.0,0.9166666666666667,0.12273226188384856,0.0,False,12.639195022327543,13,19
moons,pca,rbf,6,0.7203213491478936,2,20,32,0.7369277760234982,0.1948635240554659,0.989265518832474,0.24585901496299808,4.023710576491812,True,0.7608824530526724,0.8,0.1653768615464655,0.7916666666666667,0.996942773023871,0.8,False,12.639195022327543,13,19
moons,pca,fidelity,7,0.7203213491478936,2,20,32,0.008744134500497451,0.01773498178881919,0.014264772251221063,0.004333052898676605,3.292083568972304,False,0.2878838473906654,0.9,0.0,1.0,-0.08304701643998635,0.0,False,12.639195022327543,13,19
moons,pca,rbf,7,0.7203213491478936,2,20,32,0.7652457690737242,0.17808300599727162,0.9896558516026669,0.3000862173480681,3.2979050499169418,True,0.7586313648045154,0.8,0.1653768615464655,0.7916666666666667,0.99727688893475,0.8,False,12.639195022327543,13,19
moons,pca,fidelity,8,0.7203213491478936,2,20,32,0.0040625556825890086,0.010000444716174029,0.006609679294876802,0.002558828338904158,2.583088202668358,False,0.26654972827549445,1.0,0.0,1.0,0.0596807471879085,0.0,False,12.639195022327543,13,19
moons,pca,rbf,8,0.7203213491478936,2,20,32,0.7880028402829091,0.1638109727336731,0.9904194600098004,0.34848114990059875,2.8421033972492027,True,0.756392933257654,0.8,0.1653768615464655,0.7916666666666667,0.997565083407416,0.8,True,12.639195022327543,13,19
moons,random,fidelity,2,0.7203213491478936,2,20,32,0.25882154719426836,0.2419462072256907,0.752175922274504,0.14948406994191502,5.0318132398106155,True,0.5612765099255911,0.6,-0.028359568101990373,0.5833333333333334,-3.4490728419560384,0.5,False,12.639195022327543,13,19
moons,random,rbf,2,0.7203213491478936,2,20,32,0.9939107025788867,0.0057093743929530925,0.9998352526997344,0.9772709073661107,1.0230891405479756,False,0.7191714449468525,0.4,0.0035786323117964736,0.125,-0.7876962899163382,0.0,False,12.639195022327543,13,19
moons,random,fidelity,3,0.7203213491478936,2,20,32,0.12424826904719331,0.1432436761751476,0.3434978313612622,0.10692116384129628,3.2126271265726034,True,0.4874420937823972,0.4,-0.03227484838137977,0.5,-1.3932938001308357,0.0,True,12.639195022327543,13,19
moons,random,rbf,3,0.7203213491478936,2,20,32,0.9952443463897973,0.0037677732613602267,0.9996884385345796,0.983956880342266,1.0159880564957697,False,0.7193484720798132,0.4,-0.02809207959422552,0.7083333333333334,-0.05835233811896123,0.0,False,12.639195022327543,13,19
moons,random,fidelity,4,0.7203213491478936,2,20,32,0.06027382759486586,0.09203592511947319,0.19854781604869856,0.04587696760112706,4.327832165694858,False,0.4003845875401086,0.2,-0.028359568101990373,0.5,-0.9186514168953415,0.0,False,12.639195022327543,13,19
moons,random,rbf,4,0.7203213491478936,2,20,32,0.9942654803021069,0.003913716657099186,0.9993205204162002,0.9834106314837635,1.0161782763202711,False,0.7195677255428334,0.3,-0.032946650830581,0.375,-0.16999645554704745,0.0,False,12.639195022327543,13,19
