dataset,bandwidth,q,d2,d2_ceiling,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,n
moons,0.25,2,0.7203213491478936,2,0.4275498632136317,0.30984465194850835,0.958316491626587,0.3565316650616578,2.6878860576405126,True,32
moons,0.25,3,0.7203213491478936,2,0.2199922882367988,0.24922691807680414,0.6267628707661791,0.1203949952060482,5.205888082752238,True,32
moons,0.25,4,0.7203213491478936,2,0.1356137563622506,0.205747254823101,0.3815951676508514,0.0512599293168207,7.444317086204658,True,32
moons,0.25,5,0.7203213491478936,2,0.0679989257022363,0.13081249749236218,0.2276963490288658,0.03568748817216952,6.3802850996510365,False,32
moons,0.25,6,0.7203213491478936,2,0.031143621513231304,0.07424711243087634,0.11605798071131015,0.020376823728299902,5.69558741140434,False,32
moons,0.25,7,0.7203213491478936,2,0.014056171340084755,0.04180253246888163,0.044662044868609016,0.016243782302360905,2.7494855592910614,False,32
moons,0.25,8,0.7203213491478936,2,0.00770595945953897,0.0247552114051383,0.020874978407785162,0.012368643392906827,1.6877338722334374,False,32
moons,0.5,2,0.7203213491478936,2,0.2776660193359177,0.24581313583962372,0.8821137244685208,0.20295317701654905,4.346390322318493,True,32
moons,0.5,3,0.7203213491478936,2,0.14062618012718675,0.17186501596181833,0.4233513548628835,0.1172171355393998,3.6116848694070316,True,32
moons,0.5,4,0.7203213491478936,2,0.08110827124616934,0.12446571283862039,0.22166717313647916,0.07759962953639404,2.856549373505936,False,32
moons,0.5,5,0.7203213491478936,2,0.03708272936549437,0.06383536886417572,0.10157357447305881,0.02529561001812015,4.015462540745134,False,32
moons,0.5,6,0.7203213491478936,2,0.017107266083204998,0.029650017741728037,0.025307718734985152,0.008511299107305685,2.9734260793704497,False,32
moons,0.5,7,0.7203213491478936,2,0.008739185663936819,0.017132695440332513,0.009247847270661254,0.0054340256252875495,1.7018409386267646,False,32
moons,0.5,8,0.7203213491478936,2,0.0049597003527468535,0.011232047537840482,0.006786961165117273,0.0028182018856462467,2.40825939393655,False,32
moons,1.0,2,0.7203213491478936,2,0.24583587957959718,0.23098669467578134,0.7678498182355108,0.2056344418268768,3.7340525809482927,True,32
moons,1.0,3,0.7203213491478936,2,0.13185361091877898,0.15009353718715474,0.2973413406383548,0.13866062303276522,2.144381974744868,True,32
moons,1.0,4,0.7203213491478936,2,0.07542519434806565,0.10236560609760705,0.20387767353256336,0.0536974409367828,3.796785656370208,False,32
moons,1.0,5,0.7203213491478936,2,0.03477597709291696,0.054340038195654104,0.08077899693470278,0.019301452555954144,4.185125274925691,False,32
moons,1.0,6,0.7203213491478936,2,0.015951150411759384,0.03275792011088783,0.025503462154246415,0.009856129935724153,2.58757365421975,False,32
