dataset,encoding,reps,q,n_features,d2,d2_ceiling,pca95,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,note,n
iris,zz,2,3,3,1.915375598905324,2,2,0.1708052807631588,0.14892276437323163,0.28105376471996546,0.2045824789115803,1.3737919601679855,False,"ZZ, two layers",32
iris,zz,2,4,4,1.915375598905324,2,2,0.0835297936261225,0.09492262677804103,0.13542542521284537,0.07440848327071173,1.820026685937715,False,"ZZ, two layers",32
iris,z,1,2,2,1.915375598905324,2,2,0.32170317932193526,0.31519723738730576,0.9678250952541383,0.4167079512574884,2.322550103336302,True,Z (product states),32
iris,z,1,3,3,1.915375598905324,2,2,0.18067893344623256,0.23810733977960688,0.8082475029751288,0.2081242672829576,3.88348515781808,True,Z (product states),32
iris,z,1,4,4,1.915375598905324,2,2,0.11646131226013451,0.18896000095157706,0.6622585113500263,0.14989402232585267,4.418178264042786,True,Z (product states),32
iris,iqp,1,2,2,1.915375598905324,2,2,0.41176041025927895,0.2780011829207505,0.9733670279484027,0.29812438766260185,3.264969483308415,True,"IQP, linear CP",32
iris,iqp,1,3,3,1.915375598905324,2,2,0.2529017943711763,0.22334504997149407,0.8072064389993553,0.19304522239839253,4.181437017558,True,"IQP, linear CP",32
iris,iqp,1,4,4,1.915375598905324,2,2,0.1584906593477759,0.15654019611730555,0.5205627497727098,0.13127049527869947,3.9655731371128495,True,"IQP, linear CP",32
pendigits,zz,1,2,2,5.351224674332798,6,10,0.285075744873232,0.2479984446803635,0.8678666148301207,0.2264777887879134,3.832016461635627,True,"ZZ, one layer",32
pendigits,zz,1,3,3,5.351224674332798,6,10,0.15681344689696508,0.19149697091118625,0.5753235729114144,0.19037251948646622,3.022093600816765,True,"ZZ, one layer",32
pendigits,zz,1,4,4,5.351224674332798,6,10,0.07815109700602861,0.1283327108051687,0.4914955701476177,0.07272060550124976,6.758683687516476,True,"ZZ, one layer",32
pendigits,zz,1,5,5,5.351224674332798,6,10,0.04554222160656306,0.10039565789194237,0.4068318861439856,0.01980148023680023,20.545528984641532,True,"ZZ, one layer",32
pendigits,zz,1,6,6,5.351224674332798,6,10,0.02315485202069737,0.06968038546736743,0.24909606274127785,0.013580522699254052,18.342155766578863,False,"ZZ, one layer",32
pendigits,zz,1,7,7,5.351224674332798,6,10,0.01420245331920874,0.06012700036642077,0.18540369036858503,0.00736788938513033,25.16374509405117,False,"ZZ, one layer",32
pendigits,zz,1,8,8,5.351224674332798,6,10,0.009348574305619686,0.047571398105148544,0.14241048324095912,0.0038698767511477876,36.79974645154289,False,"ZZ, one layer",32
pendigits,zz,2,2,2,5.351224674332798,6,10,0.3414258256724277,0.24828176579888228,0.8152618121459658,0.258895134597689,3.1490039911829353,True,"ZZ, two layers",32
pendigits,zz,2,3,3,5.351224674332798,6,10,0.18644890435908992,0.19736094656679892,0.538286839781805,0.26383387938494024,2.040249118258353,True,"ZZ, two layers",32
pendigits,zz,2,4,4,5.351224674332798,6,10,0.08762337947596564,0.11755460241029293,0.3927960477645483,0.0861777425197747,4.557975601117837,True,"ZZ, two layers",32
pendigits,zz,2,5,5,5.351224674332798,6,10,0.05260686535720461,0.08832645957725209,0.2913170486180093,0.04270819224548596,6.821104647640524,True,"ZZ, two layers",32
pendigits,zz,2,6,6,5.351224674332798,6,10,0.025274913782337267,0.05435209684924394,0.18770075223882762,0.011191463349455102,16.771779201507776,False,"ZZ, two layers",32
pendigits,zz,2,7,7,5.351224674332798,6,10,0.013841602828300912,0.04054198239986041,0.11939195657145515,0.00384210087560882,31.074654319828674,False,"ZZ, two layers",32
pendigits,zz,2,8,8,5.351224674332798,6,10,0.007960866356288645,0.02489952674062519,0.07019640738644428,0.0037749324335463463,18.595407632368808,False,"ZZ, two layers",32
pendigits,z,1,2,2,5.351224674332798,6,10,0.27312503162832974,0.31908753930609024,0.9734552048524362,0.5770386794304952,1.6869843210739042,False,Z (product states),32
pendigits,z,1,3,3,5.351224674332798,6,10,0.1518174732897444,0.24057690868106096,0.8964850358032379,0.1649312651110825,5.435506937992916,True,Z (product states),32
pendigits,z,1,4,4,5.351224674332798,6,10,0.11196370828914384,0.22041868104925832,0.8638017387283796,0.12746482884530846,6.776784988874781,True,Z (product states),32
pendigits,z,1,5,5,5.351224674332798,6,10,0.07683113684703162,0.18026005754258698,0.796083026138168,0.03881539673311853,20.509465138583128,True,Z (product states),32
pendigits,z,1,6,6,5.351224674332798,6,10,0.04548680155383613,0.1383681950820866,0.6263781392909036,0.02528529958875298,24.772423086872163,True,Z (product states),32
pendigits,z,1,7,7,5.351224674332798,6,10,0.03341506588067672,0.12017615427652427,0.5529224183209343,0.006848547019952933,80.73572638254797,True,Z (product states),32
pendigits,z,1,8,8,5.351224674332798,6,10,0.027109121333939407,0.1090904650911404,0.4939574938623149,0.006428208050795907,76.84217591575239,False,Z (product states),32
pendigits,iqp,1,2,2,5.351224674332798,6,10,0.34333924685629474,0.28895025447341544,0.9684053845865229,0.017611441108443062,54.987288014849725,True,"IQP, linear CP",32
pendigits,iqp,1,3,3,5.351224674332798,6,10,0.22133522733266833,0.22423660885786176,0.8348256047095161,0.014015795198325404,59.56319944010457,True,"IQP, linear CP",32
pendigits,iqp,1,4,4,5.351224674332798,6,10,0.14316207986454585,0.19105086830476609,0.7584476727456537,0.013932721546713378,54.436433700533236,True,"IQP, linear CP",32
pendigits,iqp,1,5,5,5.351224674332798,6,10,0.09539708671875144,0.1577571796926132,0.6597041245302244,0.006199137445718056,106.4186961987596,True,"IQP, linear CP",32
pendigits,iqp,1,6,6,5.351224674332798,6,10,0.05345227950895913,0.10784256779156577,0.44377715715322363,0.004353377399089583,101.93859077001463,True,"IQP, linear CP",32
pendigits,iqp,1,7,7,5.351224674332798,6,10,0.03555195522362244,0.08541927364131632,0.3467696421235564,0.0025041062462988683,138.48040299252102,True,"IQP, linear CP",32
pendigits,iqp,1,8,8,5.351224674332798,6,10,0.022634293223247132,0.06902580567035715,0.2628387993105226,0.0017476156998512652,150.39851114457952,False,"IQP, linear CP",32
